Abbey Road,3,E15 3NB,51.531952,0.003723,539081,183352,18478.81,8381.84
Abbey Wood,4,SE2 9RH,51.490784,0.120272,547297,179002,26694.81,12731.84
Acton Central,2,W3 6BH,51.508758,-0.26343,520613,180299,10.81,11434.84
Acton Main Line,3,W3 9EH,51.516887,-0.26769,520296,181196,-306.19,10537.84
Acton Town,3,W3 8HN,51.503071,-0.280303,519457,179639,-1145.19,12094.84
Addington Village,"3,4,5,6",CR0 5AR,51.356239,-0.032665,537082,163744,16479.81,27989.84
Addiscombe,"3,4,5,6",CR0 7AA,51.379808,-0.073213,534190,166290,13587.81,25443.84
Albany Park,5,DA5 3HP,51.435816,0.126445,547903,172902,27300.81,18831.84
Aldgate,1,EC3N 1AH,51.514342,-0.075627,533629,181246,13026.81,10487.84
Aldgate East,1,E1 7PT,51.515082,-0.073001,533809,181333,13206.81,10400.84
Alexandra Palace,3,N22 7ST,51.598263,-0.120149,530300,190498,9697.81,1235.84
All Saints,2,E14 0EH,51.510477,-0.012625,538012,180933,17409.81,10800.84
Alperton,4,HA0 4LL,51.541209,-0.299516,518025,183849,-2577.19,7884.84
Amersham,9,HP6 5AZ,51.674129,-0.606514,496454,198181,-24148.19,-6447.16
Ampere Way,"3,4,5,6",CR0 3JX,51.382299,-0.123637,530674,166476,10071.81,25257.84
Anerley,4,SE20 8PY,51.412517,-0.065137,534656,169942,14053.81,21791.84
Angel,1,N1 8XB,51.532968,-0.105581,531497,183263,10894.81,8470.84
Angel Road,4,N18 3AY,51.61242,-0.048733,535204,192202,14601.81,-468.16
Archway,"2,3",N19 5RQ,51.565491,-0.135122,529356,186827,8753.81,4906.84
Arena,"3,4,5,6",SE25 4RY,51.391523,-0.058319,535192,167620,14589.81,24113.84
Arnos Grove,4,N11 1AN,51.61623,-0.13427,529271,192471,8668.81,-737.16
Arsenal,2,N5 1LP,51.558541,-0.1055,531429,186107,10826.81,5626.84
Avenue Road,"3,4,5,6",BR3 4NJ,51.406798,-0.049447,535764,169335,15161.81,22398.84
Baker Street,1,NW1 5LA,51.52313,-0.156904,527965,182078,7362.81,9655.84
Balham,3,SW12 9SG,51.443183,-0.152685,528482,173195,7879.81,18538.84
Bank,1,EC3V 3LA,51.513347,-0.089,532704,181111,12101.81,10622.84
Banstead,6,SM7 1RB,51.329293,-0.213132,524590,160426,3987.81,31307.84
Barbican,1,EC1A 4JA,51.520215,-0.097722,532079,181859,11476.81,9874.84
Barking,4,IG11 8TU,51.539521,0.080832,544405,184343,23802.81,7390.84
Barkingside,4,IG6 1NB,51.585851,0.088477,544788,189510,24185.81,2223.84
Barnehurst,6,DA7 6HQ,51.46478,0.160948,550206,176193,29603.81,15540.84
Barnes,3,SW13 0LW,51.467128,-0.242033,522209,175705,1606.81,16028.84
Barnes Bridge,3,SW13 0NR,51.472228,-0.252363,521478,176255,875.81,15478.84
Barons Court,2,W14 9DP,51.490229,-0.21343,524133,178322,3530.81,13411.84
